,n=10,n=100,n=1000,n=10000,n=100000,n=1000000,n=10000000
Linear Time Test,2ms,2ms,4ms,31ms,188ms,2498ms,22996ms
Nlogn Time Test,5ms,21ms,197ms,2650ms,28204ms,291837ms
Quadratic Time Test,1ms,22ms,1817ms,248318ms,26908792ms
Cubic Time Test,5ms,2431ms,3170037ms
,n=10,n=11,n=12,n=13,n=14,n=15,n=16,n=17,n=18,n=19,n=20,n=21,n=22,n=23,n=24,n=25,n=26,n=27,n=28,n=29
Exponential Time Test,3ms,5ms,10ms,19ms,34ms,69ms,137ms,275ms,692ms,1469ms,2329ms,5291ms,11563ms,20753ms,37271ms,72344ms,158317ms,303986ms,632427ms,1209232ms
Factorial Time Test,18473ms,210243ms,2459879ms
